Electrical_Conductivity_dS_m,Moisture_percent,pH,Temperature_C,Salinity_ppm,Humidity_percent,Nitrogen_mg_kg,Phosphorus_mg_kg,Potassium_mg_kg,Soil_Type,Crop_Type,Fertilizer
3.69,31.3,4.81,39.52,1161.52,71.43,143.23,86.85,153.76,Clayey,Sugarcane,Urea
0.72,29.31,6.59,16.87,359.06,48.13,48.0,73.7,376.32,Sandy,Cotton,Ammonium Nitrate
2.46,41.41,8.02,20.38,852.3,48.0,144.66,51.43,417.85,Sandy,Soybean,Potash
3.99,29.06,6.69,16.07,1160.44,86.5,107.92,79.59,135.51,Sandy,Potato,"NPK (Nitrogen, Phosphorus, Potassium)"
2.26,25.68,5.7,38.8,474.94,31.1,115.59,23.57,436.06,Clayey,Tomato,Ammonium Sulphate
3.92,34.26,7.39,29.41,1971.08,31.66,118.52,29.11,461.34,Sandy,Potato,Superphosphate
2.1,12.18,4.27,10.96,78.49,74.96,30.91,16.77,223.9,Clayey,Peanut,Superphosphate
2.4,14.16,6.26,16.65,22.87,89.87,24.08,29.41,237.38,Loamy,Rice,Compost
3.98,45.95,6.06,22.78,866.73,43.52,117.97,96.88,397.03,Clayey,Potato,Calcium Nitrate
0.15,31.13,5.79,16.65,725.47,67.64,48.75,33.52,85.45,Loamy,Rice,Potash
2.53,44.81,6.04,37.98,743.79,32.28,114.81,29.76,483.75,Loamy,Peanut,Calcium Nitrate
2.31,14.63,6.95,32.14,105.35,75.51,20.18,48.31,344.69,Clayey,Peanut,Ammonium Nitrate
1.06,26.3,7.44,14.14,178.96,70.71,31.75,22.5,141.44,Loamy,Sugarcane,Bone Meal
3.57,21.96,4.32,14.87,617.69,87.13,15.84,57.2,275.5,Loamy,Cotton,DAP (Di-Ammonium Phosphate)
1.24,40.27,4.45,29.77,141.63,71.3,14.0,94.66,136.39,Sandy,Rice,Urea
3.12,26.74,8.75,26.41,659.63,76.55,122.4,25.71,190.06,Clayey,Maize,Superphosphate
3.38,19.08,5.66,36.83,951.3,47.4,134.41,57.44,168.45,Loamy,Soybean,Compost
3.29,21.06,7.94,31.85,1405.7,55.42,14.53,53.28,71.83,Sandy,Soybean,Ammonium Nitrate
2.26,42.64,7.58,22.96,722.96,63.91,70.07,24.87,497.51,Sandy,Peanut,Potash
3.07,10.55,5.35,33.7,1237.19,56.95,23.92,92.93,431.51,Loamy,Soybean,Bone Meal
2.22,49.46,7.34,14.88,675.51,37.79,109.01,79.23,66.23,Sandy,Wheat,Superphosphate
1.17,40.73,5.94,23.5,1650.08,78.91,85.73,56.31,241.19,Loamy,Maize,Bone Meal
1.41,18.94,6.67,10.67,1278.78,60.35,16.29,79.2,488.16,Clayey,Tomato,Compost
2.43,34.55,8.24,27.27,1499.05,58.31,24.03,59.7,119.18,Clayey,Soybean,Ammonium Nitrate
0.26,39.4,4.28,18.13,1106.8,64.92,34.4,87.28,487.55,Loamy,Potato,"NPK (Nitrogen, Phosphorus, Potassium)"
3.26,5.45,8.64,25.66,155.34,66.5,65.09,22.8,72.68,Clayey,Cotton,Compost
3.0,12.48,6.55,18.45,374.11,60.94,43.33,22.84,374.81,Sandy,Sugarcane,"NPK (Nitrogen, Phosphorus, Potassium)"
3.39,25.44,6.66,19.55,1404.07,42.02,96.24,72.36,234.7,Clayey,Soybean,"NPK (Nitrogen, Phosphorus, Potassium)"
1.54,35.39,6.06,27.41,1084.82,44.32,98.52,22.22,263.09,Loamy,Wheat,Ammonium Nitrate
3.02,44.18,7.46,36.17,1829.33,82.57,35.76,87.46,135.11,Loamy,Potato,Bone Meal
1.74,11.31,6.33,20.13,1824.13,88.57,20.12,53.64,351.68,Loamy,Soybean,Compost
1.67,6.81,5.23,33.26,64.96,89.8,14.98,92.44,190.06,Clayey,Potato,Superphosphate
2.22,17.03,7.97,23.93,856.69,71.51,113.92,60.12,377.05,Sandy,Potato,"NPK (Nitrogen, Phosphorus, Potassium)"
2.53,21.9,7.62,38.3,191.34,67.53,26.43,46.2,350.45,Loamy,Tomato,DAP (Di-Ammonium Phosphate)
1.47,19.68,6.1,35.04,1425.21,65.35,102.84,81.07,360.61,Sandy,Tomato,Ammonium Sulphate
1.7,31.09,6.47,38.41,159.66,54.09,147.81,32.82,430.18,Clayey,Rice,Superphosphate
2.45,22.68,6.0,27.12,55.26,77.48,25.45,45.72,332.52,Loamy,Potato,Bone Meal
3.88,17.09,7.96,38.17,1296.34,51.84,71.81,23.86,415.42,Sandy,Sugarcane,Bone Meal
3.26,49.35,4.62,17.32,211.17,37.6,63.48,93.45,181.8,Clayey,Rice,Urea
3.08,47.37,8.65,18.21,1185.32,36.99,109.29,33.96,414.89,Loamy,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
2.82,37.05,8.81,18.41,3.75,63.94,20.99,96.26,429.82,Loamy,Soybean,Potash
2.24,10.6,5.52,38.6,373.12,32.17,36.9,16.66,367.62,Loamy,Rice,Potash
2.81,14.28,7.32,15.07,1122.22,40.85,49.44,31.05,88.09,Sandy,Potato,Potash
2.63,24.76,4.31,34.33,439.35,73.86,109.17,54.21,255.37,Clayey,Sugarcane,Ammonium Nitrate
3.29,44.18,4.16,34.47,49.31,61.92,19.1,71.74,464.12,Sandy,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
2.2,43.97,7.92,37.66,855.39,36.58,107.69,73.89,481.88,Clayey,Maize,Urea
2.95,23.37,7.8,21.97,1254.88,78.45,61.23,99.44,95.77,Sandy,Wheat,Compost
2.11,29.61,6.3,12.49,1870.15,72.93,17.44,54.05,61.5,Loamy,Potato,DAP (Di-Ammonium Phosphate)
0.34,25.61,5.83,18.62,302.68,49.7,22.61,57.14,91.1,Sandy,Tomato,Superphosphate
3.18,18.02,5.97,14.22,1282.24,83.73,52.9,65.36,322.45,Sandy,Maize,Potash
0.53,25.73,8.46,20.17,367.89,61.16,99.08,5.66,216.61,Loamy,Wheat,Superphosphate
2.12,37.95,6.09,12.44,1351.58,34.9,132.69,17.82,363.92,Loamy,Soybean,Superphosphate
2.28,18.61,8.86,14.04,35.57,32.96,120.56,68.31,258.46,Clayey,Potato,Potash
1.31,16.14,6.69,22.64,1578.29,75.81,107.84,82.89,245.46,Loamy,Maize,Bone Meal
0.38,10.51,5.17,32.91,1817.31,32.73,130.03,80.29,140.35,Loamy,Rice,Potash
2.86,31.9,5.54,21.1,808.62,85.91,14.24,28.12,333.59,Sandy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
3.18,33.07,6.33,26.47,868.84,71.19,17.35,24.12,412.19,Loamy,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
3.67,46.96,5.83,36.7,1837.7,84.1,10.82,70.85,345.98,Sandy,Peanut,Compost
1.88,22.43,4.0,38.27,1433.77,65.96,26.09,6.45,311.01,Clayey,Cotton,"NPK (Nitrogen, Phosphorus, Potassium)"
1.18,41.52,4.02,28.1,161.03,65.47,127.56,7.92,487.0,Clayey,Tomato,Bone Meal
3.74,38.7,6.65,35.76,1414.54,58.27,149.49,50.15,167.61,Loamy,Maize,Ammonium Nitrate
1.85,39.96,7.78,29.24,776.73,56.3,144.38,33.19,56.61,Sandy,Peanut,Bone Meal
0.13,24.58,7.4,26.67,1652.72,83.04,140.82,36.01,118.17,Sandy,Rice,DAP (Di-Ammonium Phosphate)
3.48,5.55,4.36,27.35,1739.62,63.92,139.96,12.1,252.63,Clayey,Maize,Compost
3.14,11.81,7.21,39.38,344.9,85.67,11.36,63.45,212.0,Clayey,Wheat,Calcium Nitrate
1.1,16.65,7.72,35.02,276.17,73.98,36.68,42.65,284.13,Loamy,Cotton,Urea
3.23,19.31,5.45,32.38,1324.99,43.27,105.9,78.15,341.55,Sandy,Rice,Urea
0.39,29.36,4.12,26.25,660.72,48.56,119.28,52.96,198.24,Sandy,Tomato,Urea
2.07,39.31,4.62,13.6,1723.66,89.79,60.21,95.02,210.63,Loamy,Maize,"NPK (Nitrogen, Phosphorus, Potassium)"
0.51,11.82,6.44,20.77,1454.48,84.5,89.18,72.53,144.09,Clayey,Sugarcane,Ammonium Sulphate
2.95,16.75,5.46,31.55,116.86,74.29,138.65,54.45,54.41,Sandy,Maize,DAP (Di-Ammonium Phosphate)
1.96,16.62,4.56,38.1,1214.06,64.71,52.12,59.02,318.63,Loamy,Wheat,Potash
1.86,41.38,4.45,36.86,347.07,47.94,82.63,34.3,293.55,Sandy,Soybean,Bone Meal
0.9,17.79,5.77,24.82,351.02,42.39,77.27,20.15,170.88,Loamy,Cotton,Ammonium Sulphate
2.72,39.44,5.68,16.2,978.66,51.15,98.1,30.81,452.89,Loamy,Peanut,Ammonium Nitrate
3.8,32.47,6.07,30.37,1701.56,74.04,86.48,20.66,77.04,Loamy,Peanut,Calcium Nitrate
2.93,22.72,5.9,35.1,777.59,71.68,125.81,52.47,408.7,Loamy,Sugarcane,Calcium Nitrate
2.22,19.71,6.41,21.78,1794.57,70.96,32.91,92.23,318.52,Clayey,Potato,Potash
3.52,8.84,7.43,11.37,1862.72,49.3,105.18,77.66,247.7,Loamy,Cotton,Compost
0.24,5.9,6.87,33.77,1175.87,54.4,132.92,22.06,196.82,Clayey,Potato,Superphosphate
3.69,31.79,4.21,13.0,869.2,44.03,63.81,60.75,226.69,Sandy,Peanut,Urea
3.44,26.77,6.78,26.44,769.71,62.35,139.33,88.15,198.2,Loamy,Tomato,Superphosphate
0.5,42.75,8.75,33.57,1770.46,52.17,22.45,91.96,275.31,Sandy,Soybean,DAP (Di-Ammonium Phosphate)
3.05,20.4,6.07,31.78,580.59,42.5,136.64,60.08,127.8,Clayey,Tomato,Calcium Nitrate
1.73,5.28,7.93,22.11,915.25,30.84,145.58,53.62,435.15,Clayey,Cotton,Compost
2.12,47.34,4.7,30.4,1835.27,37.21,82.81,86.78,449.95,Clayey,Wheat,Ammonium Sulphate
1.91,43.58,8.31,20.73,965.91,64.87,117.44,38.87,425.19,Sandy,Maize,Ammonium Nitrate
2.77,8.04,4.63,32.07,1114.44,82.13,111.87,77.5,268.33,Clayey,Potato,DAP (Di-Ammonium Phosphate)
0.29,34.35,4.72,18.88,1791.67,34.68,134.64,70.19,319.4,Loamy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
0.92,26.06,6.47,19.65,1527.99,83.84,75.77,27.54,173.88,Clayey,Maize,Ammonium Nitrate
0.94,36.92,6.07,11.81,646.38,60.69,107.12,98.82,78.94,Loamy,Potato,DAP (Di-Ammonium Phosphate)
1.17,38.53,5.05,26.43,1110.02,40.82,149.7,90.95,117.36,Loamy,Soybean,"NPK (Nitrogen, Phosphorus, Potassium)"
2.21,18.76,6.51,31.83,941.08,39.45,83.78,21.13,375.67,Sandy,Peanut,Superphosphate
3.73,19.03,6.08,24.97,225.4,82.94,108.43,24.64,57.84,Loamy,Sugarcane,Superphosphate
2.26,29.12,4.59,36.41,748.67,62.79,42.98,29.39,416.34,Sandy,Wheat,Ammonium Nitrate
0.86,22.6,5.89,32.03,946.19,36.21,20.18,73.91,226.13,Loamy,Wheat,Urea
3.26,22.35,7.64,31.61,1972.71,52.46,62.32,18.36,480.47,Clayey,Peanut,Ammonium Sulphate
0.19,48.19,7.25,13.02,1796.46,64.66,29.12,6.02,193.89,Clayey,Tomato,Urea
0.96,7.31,4.32,33.15,1506.78,34.99,143.16,55.9,312.48,Loamy,Rice,Ammonium Nitrate
3.61,30.94,5.55,20.95,1538.76,31.35,82.72,89.78,253.52,Sandy,Potato,Compost
0.71,30.73,4.79,28.9,1057.37,41.13,132.06,23.2,491.15,Sandy,Wheat,Potash
2.12,46.69,6.7,32.25,1946.52,75.59,67.25,91.79,350.39,Sandy,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
2.1,46.8,4.64,35.41,212.61,53.58,37.25,30.59,143.68,Loamy,Rice,Calcium Nitrate
2.72,20.42,5.34,24.07,435.46,74.66,94.3,16.43,355.89,Clayey,Rice,Ammonium Nitrate
2.49,45.74,8.62,10.26,169.52,66.79,15.48,95.68,226.5,Clayey,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
3.14,22.67,4.36,27.12,1359.02,62.58,70.12,13.25,478.74,Clayey,Cotton,Calcium Nitrate
3.38,46.93,6.64,19.29,181.8,78.94,113.05,46.47,382.6,Clayey,Wheat,Potash
3.07,49.58,8.71,15.67,98.11,88.75,113.82,88.61,251.4,Clayey,Wheat,Ammonium Sulphate
0.25,30.71,8.35,30.99,540.01,63.81,138.82,71.52,342.23,Clayey,Cotton,Superphosphate
2.65,38.81,5.44,30.14,1123.8,43.34,77.08,12.37,379.14,Sandy,Soybean,Ammonium Nitrate
2.28,14.61,7.47,10.75,946.43,62.45,99.32,5.36,470.25,Loamy,Soybean,Urea
0.42,46.81,6.65,31.46,488.9,31.38,117.81,23.06,230.94,Sandy,Soybean,Compost
3.35,15.81,8.3,22.55,791.34,58.57,8.13,26.61,377.96,Loamy,Maize,Compost
3.06,7.27,5.22,25.36,1818.08,77.92,9.19,54.61,312.11,Loamy,Wheat,Compost
3.62,9.27,8.41,18.82,1056.12,39.17,87.86,74.41,82.23,Sandy,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
2.26,5.27,6.89,25.43,509.76,47.13,36.49,15.76,195.14,Loamy,Sugarcane,Urea
3.79,49.13,6.75,10.6,718.46,87.56,67.84,44.79,123.13,Loamy,Soybean,"NPK (Nitrogen, Phosphorus, Potassium)"
1.71,17.45,5.17,38.11,1645.07,85.98,25.83,58.88,206.54,Clayey,Cotton,Potash
2.6,10.78,4.35,14.55,670.58,77.26,93.36,91.86,130.73,Sandy,Sugarcane,DAP (Di-Ammonium Phosphate)
1.49,27.35,5.71,19.29,1044.19,43.79,35.4,81.52,374.86,Loamy,Soybean,DAP (Di-Ammonium Phosphate)
3.78,35.47,5.93,23.48,1082.87,69.49,53.56,77.1,325.7,Sandy,Wheat,Compost
1.29,32.37,6.53,17.46,238.2,52.91,58.13,40.53,197.57,Clayey,Maize,Calcium Nitrate
2.93,40.72,6.24,18.75,888.29,78.59,87.04,20.34,252.89,Clayey,Soybean,Compost
2.53,8.06,5.35,28.81,486.7,67.09,57.13,8.98,489.07,Clayey,Peanut,Ammonium Sulphate
2.34,21.22,5.98,13.31,1944.08,48.44,147.66,74.96,290.28,Sandy,Tomato,Urea
0.14,49.89,5.57,26.04,434.51,47.08,126.98,74.66,489.32,Clayey,Wheat,DAP (Di-Ammonium Phosphate)
0.54,12.81,7.17,38.44,588.7,48.31,145.07,12.73,268.04,Sandy,Soybean,Urea
2.37,16.3,7.22,26.75,1695.58,43.28,74.68,47.35,107.34,Loamy,Wheat,Compost
0.63,34.18,5.57,24.41,722.49,35.57,76.44,15.43,424.39,Clayey,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
3.07,23.55,5.42,18.0,1451.52,62.55,149.22,79.6,92.79,Sandy,Tomato,Potash
1.31,49.88,6.37,26.71,373.62,51.86,111.33,83.53,350.52,Clayey,Rice,Superphosphate
0.24,5.9,6.87,33.77,1175.87,54.4,132.92,22.06,196.82,Clayey,Potato,Superphosphate
3.27,12.85,8.18,13.65,989.9,82.79,84.57,47.59,245.42,Loamy,Cotton,Bone Meal
0.24,18.85,8.02,29.69,1676.3,51.35,14.02,97.08,55.04,Sandy,Rice,Potash
0.19,18.93,5.27,17.8,1076.68,40.72,122.22,11.84,165.41,Loamy,Soybean,Ammonium Nitrate
0.61,37.16,6.86,32.63,412.03,44.04,127.2,82.18,219.66,Clayey,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
0.64,24.47,8.27,36.15,1153.84,79.92,44.13,72.75,226.63,Clayey,Rice,DAP (Di-Ammonium Phosphate)
0.15,33.57,5.32,12.91,1617.03,84.13,54.67,32.08,413.44,Sandy,Tomato,Bone Meal
0.74,29.5,5.34,13.56,379.53,59.86,98.2,18.09,163.52,Sandy,Wheat,Potash
3.18,20.39,5.13,24.01,1346.02,58.8,129.16,77.84,428.1,Loamy,Peanut,DAP (Di-Ammonium Phosphate)
3.43,7.3,4.5,25.1,35.13,54.8,52.98,51.48,236.5,Loamy,Rice,Bone Meal
1.5,43.21,8.06,27.07,1119.93,86.46,40.18,86.19,447.12,Sandy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
0.33,19.24,7.1,14.21,264.57,66.62,99.42,70.57,234.17,Sandy,Cotton,Urea
3.23,42.64,6.24,13.01,1542.63,77.04,57.48,69.59,275.44,Sandy,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
1.37,49.65,7.12,28.92,980.22,42.93,58.87,56.05,202.52,Clayey,Wheat,Ammonium Sulphate
2.76,26.11,7.81,11.34,361.54,63.54,59.3,93.43,419.1,Clayey,Maize,Superphosphate
0.6,7.82,7.03,27.79,178.5,65.78,111.01,82.66,394.05,Clayey,Soybean,Bone Meal
0.6,10.67,4.96,20.67,1895.83,36.67,113.48,60.45,300.51,Clayey,Cotton,Ammonium Sulphate
2.92,17.24,5.41,39.81,1336.52,74.78,39.84,84.79,265.59,Clayey,Cotton,Potash
1.22,45.58,8.83,22.12,162.78,72.98,125.15,14.05,205.68,Sandy,Wheat,Ammonium Sulphate
2.44,28.0,4.19,24.12,1545.61,75.27,146.07,98.51,195.63,Loamy,Potato,"NPK (Nitrogen, Phosphorus, Potassium)"
1.2,36.45,8.45,18.94,1801.74,42.03,99.08,92.71,362.6,Loamy,Cotton,Potash
2.66,45.38,5.37,20.78,848.68,49.02,132.17,12.94,209.38,Clayey,Potato,Compost
3.06,48.45,5.52,37.74,275.1,53.65,111.63,8.47,152.9,Clayey,Tomato,Potash
0.84,12.37,6.38,21.85,1461.12,76.34,92.38,64.41,124.42,Clayey,Cotton,DAP (Di-Ammonium Phosphate)
3.07,13.11,8.44,28.01,207.0,65.46,30.06,87.45,80.77,Sandy,Maize,DAP (Di-Ammonium Phosphate)
2.53,21.9,7.62,38.3,191.34,67.53,26.43,46.2,350.45,Loamy,Tomato,DAP (Di-Ammonium Phosphate)
1.0,8.66,6.93,36.33,841.08,81.92,139.41,69.72,333.79,Loamy,Rice,Potash
1.91,31.72,4.06,37.84,1314.99,51.59,147.48,97.51,73.17,Clayey,Maize,DAP (Di-Ammonium Phosphate)
0.82,48.53,5.37,14.49,1927.91,62.04,112.04,82.38,79.62,Sandy,Soybean,Bone Meal
1.11,10.56,8.61,38.13,1199.37,44.65,7.92,81.68,282.91,Clayey,Potato,Compost
3.21,18.96,6.8,35.56,69.48,36.4,140.15,28.43,186.56,Loamy,Sugarcane,Compost
2.61,29.5,6.26,30.92,1197.98,60.66,72.77,19.31,336.86,Loamy,Peanut,Compost
3.89,42.17,7.96,10.25,1350.71,56.47,140.5,81.24,249.58,Sandy,Maize,Ammonium Sulphate
1.27,34.09,4.78,16.49,1753.98,54.6,24.21,93.09,321.3,Sandy,Maize,Calcium Nitrate
1.83,21.5,7.21,22.71,390.06,86.8,26.33,71.29,89.48,Clayey,Potato,Ammonium Sulphate
2.42,26.93,8.49,33.47,331.24,78.55,40.72,85.49,372.5,Clayey,Maize,Calcium Nitrate
1.29,44.89,6.89,33.15,1117.03,55.4,67.1,51.55,416.91,Clayey,Rice,Calcium Nitrate
0.76,35.37,6.71,35.36,59.56,40.97,146.8,98.5,344.13,Loamy,Cotton,Compost
0.79,13.34,5.83,15.13,941.52,65.65,19.85,74.12,283.06,Clayey,Cotton,Calcium Nitrate
1.27,16.35,6.58,32.2,1579.42,39.93,115.68,73.12,317.98,Loamy,Rice,Compost
2.11,5.98,4.95,31.92,130.27,82.99,137.17,85.17,366.74,Sandy,Cotton,Compost
2.81,14.5,5.2,19.75,1036.82,53.61,7.19,41.32,146.73,Loamy,Maize,DAP (Di-Ammonium Phosphate)
1.17,8.87,5.92,10.85,296.6,71.36,66.19,59.91,353.69,Loamy,Wheat,Potash
0.69,32.61,5.22,31.75,1963.84,51.58,148.83,75.51,475.49,Loamy,Cotton,Calcium Nitrate
0.76,34.05,8.05,29.39,462.28,67.01,23.35,51.37,246.57,Loamy,Tomato,Ammonium Sulphate
3.93,48.4,4.63,13.98,812.8,49.11,104.47,78.37,497.14,Clayey,Cotton,Superphosphate
2.75,21.05,8.45,11.59,701.3,47.85,44.01,20.68,476.99,Clayey,Maize,Calcium Nitrate
3.55,29.67,8.8,39.44,401.74,62.53,91.57,17.25,320.8,Clayey,Maize,DAP (Di-Ammonium Phosphate)
2.66,28.17,7.99,12.79,150.54,81.95,58.37,33.71,398.75,Loamy,Soybean,"NPK (Nitrogen, Phosphorus, Potassium)"
2.45,38.28,6.07,13.65,273.76,31.74,44.31,42.76,354.27,Sandy,Cotton,Potash
2.5,24.24,5.92,28.58,1289.43,68.36,24.87,18.66,120.25,Loamy,Wheat,Ammonium Nitrate
1.06,20.99,8.44,33.23,1442.27,69.24,134.7,8.71,333.78,Loamy,Potato,Compost
2.88,38.76,6.06,14.75,980.24,55.7,137.68,85.26,235.68,Clayey,Tomato,"NPK (Nitrogen, Phosphorus, Potassium)"
2.74,9.25,7.87,37.74,764.07,83.65,103.99,20.12,320.28,Loamy,Maize,Urea
1.9,47.21,5.16,14.03,1751.77,32.06,127.17,27.27,227.47,Sandy,Potato,Potash
1.4,37.34,5.36,30.24,1368.87,51.25,125.75,82.47,258.34,Sandy,Cotton,Calcium Nitrate
2.95,8.59,8.82,37.0,121.1,71.93,30.81,84.87,319.84,Loamy,Rice,Bone Meal
1.45,27.5,6.52,10.56,145.37,85.92,83.49,26.88,152.26,Loamy,Cotton,DAP (Di-Ammonium Phosphate)
0.15,35.4,4.64,26.73,497.8,41.59,12.61,85.73,471.17,Sandy,Wheat,Potash
1.9,13.23,4.58,33.22,902.33,42.6,96.74,84.57,254.09,Sandy,Sugarcane,Urea
1.4,16.18,5.23,21.69,978.54,64.35,113.14,52.98,183.83,Sandy,Sugarcane,Superphosphate
2.82,26.34,8.91,18.89,78.78,40.96,100.46,13.35,494.48,Clayey,Soybean,Ammonium Sulphate
0.31,19.21,7.57,35.09,507.1,69.49,50.76,32.92,256.74,Sandy,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
2.53,8.06,5.35,28.81,486.7,67.09,57.13,8.98,489.07,Clayey,Peanut,Ammonium Sulphate
3.42,43.64,5.02,39.96,1369.09,85.14,75.59,40.85,383.65,Loamy,Rice,Ammonium Nitrate
1.79,47.91,6.2,24.14,1024.21,81.03,87.44,87.5,290.67,Loamy,Soybean,Bone Meal
3.94,19.12,5.58,12.57,1447.59,52.73,117.15,15.27,160.03,Loamy,Peanut,"NPK (Nitrogen, Phosphorus, Potassium)"
3.3,10.25,5.64,15.41,718.33,45.03,127.33,51.97,491.24,Clayey,Peanut,Compost
2.56,17.07,6.09,21.55,311.85,49.64,128.42,56.4,471.64,Sandy,Sugarcane,"NPK (Nitrogen, Phosphorus, Potassium)"
3.42,39.3,8.9,27.23,51.96,60.59,34.26,96.74,187.82,Clayey,Peanut,Calcium Nitrate
3.53,9.75,6.06,39.96,1578.01,56.89,83.02,7.8,119.03,Clayey,Rice,Urea
1.83,21.5,7.21,22.71,390.06,86.8,26.33,71.29,89.48,Clayey,Potato,Ammonium Sulphate
2.67,29.1,8.01,31.63,1428.24,70.41,21.37,20.29,497.33,Sandy,Potato,DAP (Di-Ammonium Phosphate)
0.17,41.36,8.78,21.27,989.82,74.36,50.32,60.66,340.54,Clayey,Peanut,Compost
3.56,39.36,4.59,38.13,1062.29,49.66,6.43,44.27,487.55,Sandy,Rice,Urea
2.35,41.84,5.1,13.93,1392.53,64.12,66.96,49.21,424.21,Clayey,Sugarcane,Ammonium Nitrate
0.99,11.61,8.84,20.44,1891.69,32.91,77.28,86.7,94.09,Clayey,Potato,Calcium Nitrate
0.74,27.82,6.85,16.05,654.38,85.09,139.35,25.13,120.85,Clayey,Maize,"NPK (Nitrogen, Phosphorus, Potassium)"
3.11,18.15,6.87,12.7,1288.0,82.48,95.87,24.44,249.1,Sandy,Potato,Compost
2.38,22.23,6.29,14.88,1547.27,85.62,78.07,43.62,162.72,Sandy,Wheat,Potash
3.19,19.2,8.01,32.02,1565.97,34.61,95.82,42.6,294.92,Clayey,Sugarcane,Potash
1.27,31.25,5.8,31.08,1035.48,64.1,38.07,46.09,452.6,Clayey,Potato,Urea
1.72,10.84,6.24,28.26,1672.23,72.56,122.61,83.87,126.05,Clayey,Soybean,Urea
3.49,37.64,8.41,16.14,179.97,89.95,101.31,31.85,358.84,Sandy,Peanut,Ammonium Sulphate
2.7,41.94,8.23,15.82,1002.48,33.86,5.4,53.14,409.06,Clayey,Maize,Urea
0.64,8.27,4.12,37.24,782.67,48.04,71.0,10.05,390.58,Loamy,Peanut,Bone Meal
3.5,26.75,4.39,24.81,1134.33,42.12,82.54,82.5,493.6,Sandy,Tomato,Potash
0.26,18.41,7.64,15.2,1752.97,50.16,92.99,85.4,203.63,Sandy,Soybean,Ammonium Sulphate
3.49,47.6,8.67,18.33,1741.78,83.4,71.28,19.34,492.96,Sandy,Sugarcane,"NPK (Nitrogen, Phosphorus, Potassium)"
1.56,14.52,7.61,17.13,1826.49,60.86,146.58,71.62,106.55,Clayey,Potato,Urea
1.28,37.29,4.74,34.81,483.34,31.25,74.94,49.86,403.22,Clayey,Rice,DAP (Di-Ammonium Phosphate)
2.67,11.08,5.84,37.34,1505.74,71.84,93.58,37.05,240.24,Sandy,Peanut,Potash
3.94,24.91,4.94,15.07,1192.28,60.24,51.24,26.26,392.59,Clayey,Wheat,Ammonium Nitrate
3.43,27.69,4.0,36.5,1770.57,60.33,98.62,97.56,288.65,Loamy,Cotton,Urea
0.16,36.6,7.78,24.78,181.17,39.35,47.12,52.4,223.98,Sandy,Soybean,Ammonium Nitrate
3.66,29.1,6.75,21.43,1414.28,75.14,118.42,61.09,116.7,Clayey,Cotton,Ammonium Nitrate
0.45,7.53,5.27,38.8,687.64,47.92,103.92,64.13,294.56,Sandy,Maize,Ammonium Nitrate
2.78,24.15,8.08,35.3,1548.34,55.65,148.37,78.37,88.78,Clayey,Wheat,Ammonium Nitrate
0.66,44.47,8.44,25.19,478.93,81.01,53.35,99.63,469.45,Loamy,Soybean,Urea
3.16,43.18,8.51,19.33,186.98,51.91,146.82,33.64,492.18,Clayey,Potato,Urea
2.65,38.81,5.44,30.14,1123.8,43.34,77.08,12.37,379.14,Sandy,Soybean,Ammonium Nitrate
0.98,30.63,6.09,23.14,1187.35,31.39,91.84,31.38,56.23,Loamy,Potato,Bone Meal
3.14,35.81,4.44,33.77,1546.71,69.39,57.13,59.46,381.02,Loamy,Rice,"NPK (Nitrogen, Phosphorus, Potassium)"
2.93,7.81,7.42,14.81,1727.91,41.17,64.56,39.71,312.69,Sandy,Wheat,Ammonium Nitrate
0.23,15.35,7.74,17.81,1954.37,88.1,22.61,30.82,414.95,Sandy,Peanut,Potash
1.88,7.55,4.45,25.53,878.99,36.0,105.19,85.39,232.68,Sandy,Maize,Superphosphate
0.96,5.62,8.18,27.67,328.23,59.63,100.9,61.19,274.28,Sandy,Peanut,Urea
2.94,37.77,7.92,11.13,19.17,47.8,66.74,28.98,183.31,Sandy,Tomato,Compost
2.88,48.09,7.88,12.13,489.01,68.37,88.22,23.48,257.03,Sandy,Wheat,Urea
1.87,17.47,7.11,28.43,439.5,66.84,132.87,13.3,165.64,Clayey,Potato,Potash
0.28,32.86,8.06,16.81,1117.36,89.64,104.13,26.87,354.51,Sandy,Cotton,Calcium Nitrate
1.7,37.56,6.47,14.34,1517.86,34.2,21.22,68.05,413.65,Sandy,Soybean,Calcium Nitrate
3.95,27.56,6.21,17.65,1206.58,36.58,141.79,37.46,490.58,Sandy,Sugarcane,Ammonium Sulphate
1.06,26.3,7.44,14.14,178.96,70.71,31.75,22.5,141.44,Loamy,Sugarcane,Bone Meal
